# Simuation_for_state_estimation (Up to date)
# 1072 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (43.8 m/s)
#
# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.892,-21.853,2.261
3.903,-21.655,1.617
3.917,-21.287,0.141
3.937,-20.76,2.109
3.968,-20.232,4.324
3.989,-20.002,5.141
4.005,-19.982,4.752
4.023,-20.22,2.637
4.051,-20.576,0.309
4.074,-20.654,1.415
4.089,-20.644,1.861
4.103,-20.559,1.87
4.118,-20.355,1.221
4.135,-20.08,0.248
4.162,-19.68,1.349
4.202,-19.206,3.46
4.225,-18.991,4.494
4.241,-18.888,4.867
4.256,-18.806,5.105
4.269,-18.731,5.317
4.282,-18.677,5.331
4.295,-18.64,5.169
4.308,-18.586,5.145
4.321,-18.528,5.14
4.335,-18.488,4.958
4.349,-18.467,4.594
4.365,-18.724,2.007
4.39,-19.211,1.719
4.406,-19.497,3.58
4.416,-19.566,4.085
4.425,-19.598,4.392
4.434,-19.6,4.556
4.443,-19.574,4.594
4.452,-19.524,4.532
4.46,-19.459,4.415
4.469,-19.368,4.184
4.479,-19.249,3.835
4.489,-19.101,3.352
4.5,-18.918,2.708
4.513,-18.604,1.273
4.532,-18.184,0.881
4.562,-17.685,4.099
4.578,-17.458,5.972
4.589,-17.348,6.959
4.598,-17.271,7.647
4.606,-17.259,7.517
4.614,-17.267,7.084
4.623,-17.281,6.529
4.633,-17.303,5.829
4.643,-17.337,4.943
4.657,-17.328,4.485
4.672,-17.263,4.567
4.687,-17.215,4.484
4.702,-17.192,4.127
4.719,-17.285,2.753
4.745,-17.478,0.746
4.784,-18.077,3.282
4.795,-18.278,4.403
4.804,-18.385,5.033
4.813,-18.444,5.428
4.821,-18.477,5.7
4.828,-18.484,5.869
4.836,-18.469,5.946
4.843,-18.432,5.936
4.851,-18.37,5.826
4.858,-18.243,5.414
4.866,-18.093,4.903
4.875,-17.917,4.274
4.885,-17.711,3.498
4.896,-17.466,2.518
4.911,-17.143,1.046
4.933,-16.733,1.179
4.966,-16.285,4.696
4.979,-16.157,6.178
4.989,-16.086,7.113
4.997,-16.036,7.808
5.005,-16.001,8.288
5.012,-15.973,8.622
5.019,-15.948,8.86
5.026,-15.924,9.011
5.032,-15.902,9.082
5.039,-15.881,9.079
5.045,-15.86,9.002
5.052,-15.841,8.838
5.059,-15.824,8.559
5.065,-15.809,8.203
5.073,-15.797,7.762
5.081,-15.79,7.227
5.089,-15.79,6.582
5.098,-15.802,5.8
5.109,-15.86,4.552
5.124,-15.985,2.807
5.146,-16.258,0.356
5.179,-16.761,2.597
5.193,-16.984,3.637
5.204,-17.113,4.199
5.213,-17.17,4.426
5.223,-17.199,4.546
5.232,-17.203,4.571
5.241,-17.181,4.508
5.25,-17.134,4.359
5.259,-17.065,4.141
5.269,-16.97,3.831
5.279,-16.845,3.422
5.29,-16.687,2.896
5.303,-16.467,2.116
5.318,-16.104,0.684
5.342,-15.618,1.403
5.376,-15.184,3.355
5.399,-14.987,4.246
5.416,-15.046,3.583
5.437,-15.148,2.592
5.469,-15.257,1.447
5.516,-15.31,0.477
5.566,-15.23,0.24
5.616,-15.147,0.013
5.666,-15.06,0.304
5.706,-14.779,0.659
5.756,-14.122,4.39
5.771,-14.086,4.449
5.785,-14.081,4.238
5.801,-14.084,3.934
5.818,-14.053,3.863
5.836,-14.038,3.67
5.855,-14.061,3.197
5.877,-14.199,2.002
5.912,-14.388,0.633
5.962,-14.52,0.298
5.999,-14.601,0.834
6.026,-14.79,1.752
6.045,-14.884,2.234
6.061,-14.826,2.13
6.077,-14.686,1.731
6.096,-14.501,1.188
6.119,-14.23,0.326
6.154,-13.862,0.908
6.204,-13.607,1.598
6.254,-13.42,2.043
6.297,-13.548,0.918
6.347,-13.348,1.468
6.397,-13.301,1.224
6.447,-13.22,1.187
6.497,-13.006,1.895
6.541,-13.134,0.823
6.591,-13.039,0.913
6.641,-12.939,1.036
6.691,-13.068,0.105
6.741,-13.264,1.023
6.77,-13.188,0.902
6.802,-12.994,0.332
6.849,-12.601,1.059
6.899,-12.444,1.439
6.949,-12.274,1.934
6.989,-12.51,0.471
7.039,-12.457,0.387
7.089,-12.305,0.772
7.139,-12.168,1.102
7.189,-12.481,0.61
7.233,-12.474,0.84
7.269,-12.372,0.654
7.313,-12.201,0.222
7.363,-11.972,0.511
7.413,-11.932,0.344
7.463,-11.791,0.759
7.513,-11.627,1.423
7.563,-11.568,1.463
7.611,-11.455,1.912
7.645,-11.47,1.528
7.689,-11.524,0.821
7.739,-11.275,2.135
7.77,-11.238,2.133
7.8,-11.298,1.506
7.846,-11.484,0.247
7.896,-11.52,0.072
7.946,-11.373,0.408
7.996,-11.257,0.726
8.046,-11.12,1.114
8.096,-11.121,0.941
8.146,-11.321,0.132
8.196,-11.338,0.007
8.246,-11.536,0.608
8.291,-11.918,1.624
8.315,-11.932,1.687
8.339,-11.811,1.435
8.366,-11.691,1.206
8.397,-11.563,0.975
8.432,-11.309,0.439
8.482,-10.747,1.003
8.532,-10.355,2.154
8.563,-10.21,2.571
8.588,-10.104,2.864
8.61,-10.133,2.691
8.634,-10.31,2.013
8.667,-10.499,1.308
8.717,-10.719,0.547
8.767,-10.863,0.091
8.817,-10.804,0.176
8.867,-10.748,0.245
8.917,-10.776,0.118
8.967,-10.854,0.113
9.017,-10.728,0.098
9.067,-10.838,0.191
9.117,-11.1,0.763
9.16,-10.976,0.585
9.21,-11.024,0.753
9.256,-10.798,0.401
9.306,-10.567,0.03
9.356,-10.41,0.216
9.406,-10.481,0.03
9.456,-10.389,0.085
9.506,-10.339,0.113
9.556,-10.038,0.802
9.606,-10.103,0.553
9.656,-10.127,0.413
9.706,-10.016,0.653
9.756,-9.899,0.932
9.806,-9.99,0.594
9.856,-10.102,0.205
9.906,-9.94,0.61
9.956,-9.832,0.873
10.006,-9.753,1.045
10.056,-9.713,1.092
10.106,-9.453,1.755
10.142,-9.443,1.706
10.179,-9.118,2.45
10.206,-8.83,3.05
10.227,-8.757,3.122
10.248,-8.69,3.17
10.269,-8.654,3.141
10.29,-8.626,3.086
10.312,-8.737,2.748
10.336,-8.977,2.159
10.367,-9.264,1.491
10.414,-9.635,0.707
10.464,-9.948,0.154
10.514,-10.149,0.109
10.564,-10.072,0.007
10.614,-10.041,0.034
10.664,-10.151,0.069
10.714,-10.184,0.087
10.764,-10.119,0.022
10.814,-10.065,0.028
10.864,-10.029,0.058
10.914,-10.079,0.024
10.964,-10.072,0.03
11.014,-10.063,0.035
11.064,-10.079,0.022
11.114,-10.126,0.01
11.164,-10.08,0.009
11.214,-10.074,0.004
11.264,-10.068,0.014
11.314,-10.04,0.023
11.364,-9.959,0.004
11.414,-9.88,0.019
11.464,-9.819,0.033
11.514,-9.776,0.037
11.564,-9.713,0.051
# Event APOGEE occurred at t=11.614 seconds
11.614,-9.624,0.071
11.664,-9.509,0.092
11.714,-9.433,0.089
11.764,-9.381,0.067
11.814,-9.288,0.054
11.864,-9.209,0.033
11.914,-9.096,0.016
11.964,-9.007,0.012
12.014,-8.918,0.045
12.064,-8.845,0.087
12.114,-8.747,0.117
12.164,-8.701,0.166
12.214,-8.663,0.243
12.264,-8.634,0.282
12.314,-8.62,0.344
12.364,-8.814,0.28
12.414,-8.91,0.275
12.464,-8.903,0.337
12.514,-9.046,0.29
12.561,-9.182,0.232
12.608,-9.402,0.077
12.655,-9.609,0.118
12.701,-9.891,0.48
12.749,-9.928,0.57
12.799,-10.181,1.03
12.845,-10.064,0.918
12.895,-10.176,1.23
12.937,-9.935,0.829
12.987,-9.81,0.629
13.037,-9.832,0.762
13.087,-10.017,1.381
13.129,-10.137,1.867
13.162,-10.043,1.7
13.197,-9.731,0.768
13.247,-9.737,0.895
13.297,-9.721,0.947
13.347,-9.734,1.121
13.397,-9.793,1.502
13.439,-9.543,0.501
13.489,-9.449,0.201
13.539,-9.446,0.27
